idelem,intensidad,ocupacion,carga
10700,120,0,13
10698,160,2,33
10696,140,2,8
10723,40,0,1
5994,40,31,28
5995,40,31,33
5996,120,71,41
5997,60,50,35
5998,200,44,44
6000,120,16,35
6001,20,91,40
6003,40,15,21
6004,280,7,38
6005,120,14,34
6006,60,0,26
6007,20,5,22
6009,499,3,29
6010,480,1,18
6011,760,3,27
6012,720,2,19
6013,800,4,35
6014,920,5,28
6015,780,5,29
6016,800,5,43
6017,720,4,35
6018,960,5,38
6019,1240,4,32
6020,1580,5,39
6021,520,1,29
6022,1420,13,50
6023,600,3,35
6024,960,9,40
6025,800,5,71
3791,940,5,35
6026,480,4,29
6027,380,6,25
6028,380,5,19
6029,220,5,32
6030,400,2,24
6031,460,7,47
6032,600,37,36
6033,660,3,32
6034,320,2,25
6035,240,1,28
6036,0,0,0
6037,80,0,15
10112,760,4,23
6038,380,3,24
6039,780,6,18
6040,580,4,21
6041,940,3,24
6042,460,3,20
6043,720,53,59
10110,760,2,24
6044,480,2,26
6045,600,2,35
10111,260,3,32
10113,960,3,27
10115,480,2,34
10116,800,4,35
10114,140,2,31
10117,880,6,32
10118,340,3,22
10120,640,3,30
10119,520,13,27
10125,120,1,23
10124,140,2,19
10122,1120,9,37
10123,0,100,48
10121,320,3,43
10126,520,2,28
10129,499,3,32
10438,400,2,16
10128,740,3,36
10127,860,5,39
10168,700,4,25
10298,620,2,28
10440,400,10,33
10439,40,0,9
10437,780,5,26
10436,540,3,30
10435,499,3,26
10737,140,3,12
10738,180,2,16
10824,320,5,21
10825,160,3,19
10826,100,1,13
10827,340,7,43
10828,200,4,30
10829,360,4,33
10830,80,0,15
10831,40,1,22
10832,20,3,5
10839,260,7,14
10840,999,8,25
11060,180,2,23
11061,100,1,13
11062,80,1,20
11063,240,5,22
6048,0,0,9
6050,120,14,34
6051,0,100,48
6052,120,32,31
6053,220,37,58
6054,0,100,48
6055,200,57,55
6056,160,5,33
6057,100,4,36
6059,120,53,37
6061,120,0,19
6062,620,3,33
6063,499,2,32
6064,700,6,22
6065,740,3,29
6066,580,4,26
6067,600,2,22
6068,660,4,32
6069,340,1,13
6070,660,2,20
6071,700,3,39
6072,760,3,43
6073,40,0,6
6074,180,1,23
6075,140,4,23
6076,40,41,29
6077,140,1,20
6078,120,0,16
6079,80,2,17
6080,260,1,20
6081,120,0,21
6082,340,1,21
6083,340,6,31
6084,220,6,19
6085,260,2,29
6086,100,0,23
6087,240,1,17
6088,120,3,24
6089,60,1,14
6090,160,1,26
6091,1600,14,38
6092,1520,5,30
6093,1220,8,37
6094,940,3,22
6095,1080,14,35
6096,1200,5,30
6097,720,6,32
3831,340,11,51
6098,300,7,39
6099,120,4,30
6100,620,4,24
10167,180,3,41
6101,60,0,16
6102,100,0,17
6103,220,3,26
10109,1440,9,54
6111,180,2,5
3777,20,0,22
10743,20,0,8
10746,40,0,2
10747,160,1,25
10742,20,0,9
10739,60,0,13
10740,40,0,5
11136,160,2,10
6104,80,38,29
6105,440,76,68
6106,0,0,5
6107,20,0,2
3430,0,98,48
6109,60,39,32
3778,80,42,24
6110,0,0,0
6112,40,17,14
9984,380,7,39
10009,499,27,27
10010,60,0,11
9857,40,0,20
6113,640,5,39
6114,300,1,20
6115,420,1,32
6116,400,3,27
6117,560,3,37
6118,140,3,25
6119,320,8,39
6123,300,1,23
6121,140,2,17
6122,100,0,34
6455,320,3,14
6433,640,8,37
6124,180,3,25
6125,120,1,25
6456,1300,7,24
6454,200,0,9
6453,320,5,29
6457,300,2,43
6439,400,6,20
6463,40,0,17
6120,420,3,37
10750,60,1,15
10807,60,1,19
10808,80,1,12
10889,320,7,17
10890,380,6,14
11008,160,1,14
11014,120,2,10
11107,320,22,25
11106,340,2,7
11108,240,1,3
11111,260,1,4
11110,220,2,5
11109,300,2,7
11185,300,1,22
11183,140,2,6
11184,340,6,15
6126,100,15,43
6127,340,38,51
6128,40,0,22
3781,60,33,20
6129,200,65,36
6130,420,65,46
6131,200,65,38
6132,120,33,28
6465,240,56,60
6466,160,54,56
9927,720,1,17
9921,480,1,17
9945,420,1,44
9946,300,2,27
9948,400,1,31
9947,320,1,25
9951,600,2,15
9950,300,0,17
9953,820,3,82
9954,20,0,11
9955,499,1,20
6908,220,0,8
9949,240,1,10
10749,80,1,32
10751,20,1,14
6133,480,2,24
6134,840,5,33
10306,440,3,20
6136,800,4,24
6137,520,3,25
3487,700,6,37
6138,320,2,25
6139,499,3,33
6140,340,2,24
6141,499,5,33
6142,600,4,33
6143,440,2,23
6144,340,5,49
6185,40,0,9
6146,220,0,9
6147,180,3,47
10302,560,4,25
6148,160,3,20
6149,400,1,15
6150,340,1,12
10300,140,3,18
6152,120,2,18
6153,200,6,23
6154,200,2,27
6155,280,3,27
6156,340,7,46
6157,220,0,14
6158,180,1,17
6159,80,0,11
3648,220,2,8
6160,60,1,6
6161,120,3,10
3649,300,10,54
6162,160,3,36
6163,120,2,39
6164,220,17,45
6165,260,4,37
10301,100,4,21
6166,20,0,4
10308,860,7,31
6167,160,3,35
6168,360,2,26
6169,60,0,26
6170,320,2,31
6171,600,7,27
6172,180,5,23
6173,320,4,15
6174,280,2,15
6175,160,0,5
6176,40,0,1
6177,160,0,5
6178,240,1,5
10307,40,0,5
10303,420,2,20
10305,640,4,26
10304,440,1,19
6135,800,4,29
10299,200,3,17
6151,180,5,24
10455,320,3,17
10447,600,5,17
10453,640,5,18
10454,400,3,10
10448,320,1,10
10452,480,2,15
10451,340,2,9
10450,560,4,16
10449,340,2,9
10445,460,3,11
10446,180,3,9
6179,80,31,21
6180,60,22,26
6182,40,38,9
6183,0,0,2
6184,0,0,20
6186,60,65,73
6187,0,0,0
6189,0,0,5
6190,20,18,17
6192,240,65,48
3752,560,4,29
6194,780,5,25
6195,320,4,29
6196,560,5,33
6197,760,6,32
6198,420,4,13
6199,480,9,27
6200,140,2,22
6201,220,3,31
6202,80,2,19
6203,300,7,65
3695,180,4,25
3696,80,0,6
6204,160,1,14
6205,220,2,20
3782,260,2,20
3783,640,4,39
6206,640,5,19
6207,480,3,25
6208,560,4,21
6209,740,7,57
6210,680,4,38
6211,100,1,19
6212,499,5,20
6923,100,43,19
6213,100,2,26
6930,160,2,32
10943,100,2,26
6218,480,3,16
6922,340,9,39
6219,100,58,20
6220,140,63,40
6221,320,1,33
6222,480,2,31
6223,520,2,39
6224,240,0,22
6225,260,1,28
6226,260,0,25
6227,260,0,28
6228,200,1,25
6229,280,1,34
6230,520,2,30
6231,740,13,30
6232,640,3,32
6233,600,7,35
6234,1660,7,43
6235,820,12,24
6236,1180,5,30
6237,660,2,21
3508,840,2,26
10131,360,5,20
10132,480,10,29
6238,320,3,40
6239,400,7,42
6240,580,7,66
6241,220,0,19
6242,420,9,50
6243,160,2,21
6244,540,7,66
6245,340,3,36
6246,420,1,28
11009,140,2,17
3656,80,0,9
3657,420,5,33
6248,140,3,34
6249,499,11,59
6250,80,0,16
3658,1240,12,39
11010,80,7,14
6252,260,9,15
6253,380,3,40
6254,440,4,52
6255,520,28,64
3784,680,9,56
3785,240,22,31
6256,360,5,39
6257,300,8,29
6258,380,6,45
6259,480,10,44
6260,560,43,61
6261,380,3,36
6262,120,3,21
6263,220,3,32
6264,260,4,37
6272,0,98,48
6265,700,2,25
6266,340,3,17
6267,1240,9,31
6268,940,10,26
6940,1200,4,40
6269,120,2,10
6270,860,10,50
6925,420,3,37
6924,520,5,55
6926,280,1,19
6998,580,6,15
6999,20,0,4
10138,360,1,21
10140,620,4,30
10144,120,1,11
10142,499,3,23
10143,80,0,5
10141,80,1,9
10139,760,5,34
10151,640,5,27
10152,260,53,24
10148,1060,16,34
10150,140,3,18
10147,860,9,20
10149,360,37,27
6274,220,6,11
10169,380,5,48
10347,460,7,38
6271,7759,31,100
10752,120,1,21
10346,60,0,21
10754,40,1,11
10756,100,2,17
10755,60,0,3
10757,100,10,12
10679,520,20,48
10681,1080,4,27
10997,60,0,12
10998,200,3,22
10999,180,2,18
11000,40,0,3
11001,80,0,14
11002,60,1,8
11003,40,0,11
11004,20,1,3
11011,780,8,66
11012,120,0,10
11013,40,0,6
11064,160,2,18
11065,140,3,22
11067,200,5,26
11066,20,0,10
11068,200,2,19
11069,0,0,5
11128,320,1,13
11129,480,2,12
11130,140,1,9
11131,160,1,7
11132,60,0,7
11133,160,0,4
11134,220,1,5
11135,200,1,9
11138,220,1,7
11137,220,1,7
10869,40,11,5
6273,0,0,1
10758,220,49,43
6275,20,1,24
6276,80,46,38
6277,120,33,27
6278,80,2,16
6279,220,49,52
6280,0,0,10
6281,80,24,17
6282,20,0,7
6283,260,78,60
6284,260,15,31
10146,840,5,29
6286,0,0,0
3659,480,20,38
6287,360,3,28
6288,180,1,24
6289,120,0,20
3660,0,100,48
6290,60,1,21
6291,60,0,25
9845,400,10,33
10759,120,1,13
6293,180,3,30
6294,160,0,21
6295,240,1,22
6296,300,1,17
6297,760,3,31
6298,1040,5,28
6299,660,2,32
6300,240,0,17
6301,260,0,16
9846,999,5,79
6302,700,1,20
6303,600,6,41
6304,580,3,20
6331,360,6,39
6305,0,98,48
6306,400,14,49
6307,160,4,53
6308,80,1,23
6309,480,6,39
6310,540,13,22
6311,640,5,35
6312,200,0,12
6313,360,1,37
6314,60,0,16
6315,420,3,33
6316,0,100,48
6317,200,10,25
6318,320,6,35
6319,100,0,16
6320,360,6,21
6321,560,15,42
6322,160,2,30
6323,360,1,29
6324,300,5,20
9844,120,1,22
10741,160,5,13
10744,40,0,9
10745,40,0,7
10843,640,3,11
10651,80,0,31
10844,540,2,10
10845,320,1,10
10753,80,1,10
6292,80,1,9
10846,640,3,13
10847,499,4,14
11019,820,5,21
11020,740,2,12
11056,560,2,13
11055,400,2,10
11057,320,1,7
11058,540,3,12
6325,20,7,17
6327,20,0,16
6329,120,36,30
6330,140,37,67
6332,320,1,16
6333,340,2,25
6334,320,1,31
6335,420,3,39
6336,620,7,43
6337,620,5,29
6338,460,4,22
6339,600,3,34
6340,340,2,27
6341,340,25,33
6342,140,0,18
6927,260,1,16
9993,140,3,28
3832,700,5,36
6345,100,3,18
10540,560,6,19
9838,200,7,24
9839,180,8,32
6928,499,3,18
6929,340,3,23
9969,160,4,29
6347,20,0,16
6348,200,23,48
6349,140,30,33
6350,60,3,27
6351,280,52,69
6352,80,2,14
6353,140,32,22
10001,120,24,27
10002,160,2,36
9994,180,2,23
10145,80,1,16
6344,499,1,18
6346,180,1,21
9854,120,5,7
9855,180,2,7
6969,80,16,10
6355,540,4,28
6356,300,2,21
6357,180,5,28
6358,220,6,21
6359,180,2,15
6360,300,1,13
6361,140,2,31
6362,60,1,13
6363,40,1,11
6364,140,3,17
6365,100,2,12
6366,180,2,20
6367,120,3,12
6368,200,3,31
6369,420,5,28
6370,40,0,17
6378,320,1,7
6372,320,2,28
6373,180,3,23
6374,180,3,14
6375,240,4,29
3786,380,6,26
6376,680,10,46
6377,540,5,30
6371,920,6,43
6379,300,2,28
6381,460,4,32
6382,620,4,28
6383,420,3,27
3792,160,2,17
3793,220,4,25
6384,120,2,15
6385,260,3,27
6386,220,2,21
6967,160,6,26
10834,40,2,2
10835,100,1,19
10833,100,0,18
10836,160,1,15
6387,60,46,16
10748,20,31,34
6388,520,4,21
6389,540,3,20
6390,520,2,17
6391,680,5,28
6392,680,5,21
6393,460,3,25
6394,280,0,14
6395,499,3,23
6396,1040,9,56
6397,1280,24,48
6398,380,1,17
6399,400,3,18
6400,620,4,19
6401,400,1,18
6402,360,37,26
6502,0,100,49
11016,700,6,21
6403,140,3,14
6404,680,2,19
6405,740,6,35
6406,120,1,21
6407,200,3,25
6408,540,6,24
6409,100,1,9
6410,1360,4,36
6411,920,6,33
10728,40,0,15
3431,40,0,4
3529,1080,9,59
6413,180,2,51
6414,120,1,40
6415,460,4,58
9865,300,2,6
3661,320,58,57
11015,140,3,6
10730,100,1,10
10727,80,2,12
10620,0,100,49
10624,140,0,4
10623,140,0,3
10622,0,0,5
10621,0,100,49
11017,80,1,28
11018,1140,8,42
11302,260,23,22
11303,360,1,12
11304,620,3,14
11306,60,1,5
11305,1340,9,27
11307,280,2,6
11308,20,0,2
11309,440,8,100
11310,20,1,1
11311,40,0,2
11312,440,3,12
11316,0,0,1
11317,720,4,17
11315,380,1,9
11318,360,2,9
11319,140,0,6
6416,0,99,48
6417,240,34,39
6418,140,40,44
6419,40,27,25
6495,1400,4,36
6420,1680,5,28
6421,1140,6,35
6422,460,2,14
6423,700,15,33
6424,620,3,32
6425,940,5,22
6426,740,6,41
6427,660,3,34
6428,560,3,35
3804,560,4,27
3805,620,2,29
6429,420,2,23
6430,420,2,21
6431,520,3,21
6432,380,2,15
6497,860,2,18
6496,1700,6,36
6434,300,3,29
6435,360,1,37
3812,440,2,33
6436,420,2,24
6437,400,1,36
6438,520,3,36
6499,920,5,55
6498,180,5,41
3810,160,1,39
3811,1180,15,47
6440,260,4,37
6441,200,16,32
6442,240,4,36
6443,280,6,51
6444,640,48,50
6445,520,7,37
6446,180,2,31
6447,820,3,33
6448,180,0,28
6449,560,3,32
6450,320,4,42
6451,280,2,9
6452,240,3,61
10352,720,3,15
10350,120,1,4
10349,220,3,14
10353,400,6,19
10351,300,3,18
10354,220,3,17
10355,640,4,17
6458,120,2,14
10928,320,4,22
3833,1040,14,37
6459,100,1,22
6460,40,0,12
10357,460,3,10
10356,620,4,19
6461,620,3,21
6462,540,17,36
10671,100,2,6
10672,40,0,2
10669,440,3,10
10670,100,2,7
10673,460,1,5
10674,340,0,4
10675,360,1,5
10677,140,2,7
10676,100,1,4
6464,80,25,29
6467,0,0,1
3557,880,5,25
6468,680,3,16
6469,240,1,19
6470,80,0,13
6471,20,0,24
6472,160,2,23
6473,140,1,31
6474,260,1,20
6475,100,0,22
6476,120,2,48
6477,160,1,15
6478,240,1,17
6479,140,0,16
6480,80,1,17
6481,280,1,39
6482,800,9,19
3760,1660,8,32
6500,780,5,39
6501,220,6,27
10238,900,5,19
10241,600,2,10
10240,40,0,0
10239,0,0,0
10243,200,1,9
10244,780,5,22
10245,40,0,2
10246,0,0,2
10260,760,4,19
10781,120,2,48
10625,40,0,2
10627,140,1,4
10632,120,0,3
10635,120,0,4
10636,220,1,8
10631,260,1,7
10628,320,2,9
10626,220,2,4
10629,200,2,5
10630,0,0,0
10633,0,0,0
10634,20,0,3
10729,20,0,3
10960,0,0,3
10959,20,0,5
10958,20,1,3
11142,100,2,6
11143,220,1,6
11257,240,1,8
11260,240,3,15
11259,280,5,14
11258,60,0,1
11266,0,0,0
11267,80,1,3
11268,200,1,5
11270,280,5,17
11269,20,1,1
11289,420,2,8
11290,40,0,4
11291,260,5,13
11292,20,0,13
11293,200,3,24
11286,420,8,19
11287,240,6,7
11288,280,6,16
11285,40,0,2
11295,300,1,6
11297,100,17,11
11296,220,1,5
11298,20,0,1
11300,140,4,7
11299,0,0,0
10242,100,34,14
10400,420,18,26
6214,800,8,44
6215,780,15,46
6216,480,8,48
6217,580,4,24
3808,340,6,27
3809,480,3,15
6984,260,0,20
6986,280,0,25
6985,260,0,18
6990,80,0,11
6989,440,3,16
6988,320,0,24
6987,360,1,19
6483,680,4,31
6484,60,20,27
6485,240,0,20
6486,280,4,30
6487,120,2,7
6488,440,6,51
6489,280,4,26
6490,100,43,33
10780,60,1,6
10779,0,0,3
10892,499,2,16
10891,380,2,13
10893,460,4,14
10894,40,1,3
10895,400,4,24
10896,60,0,3
10897,200,0,13
10898,40,1,2
10899,300,4,23
10903,300,3,5
10908,640,31,24
10904,280,1,6
10907,20,51,11
10910,260,2,13
10909,40,0,1
10914,180,1,10
10912,540,10,20
10913,40,0,0
10911,0,0,0
10916,380,5,12
10915,60,0,4
10917,180,3,10
10919,220,6,11
10918,100,0,4
10920,140,3,8
10933,420,5,18
10936,320,3,18
10938,300,3,16
10939,120,1,6
10934,20,0,2
10935,0,0,1
10937,20,0,1
9982,240,43,39
9983,960,12,56
10163,400,5,61
10164,360,6,22
10162,240,3,37
10778,20,12,4
10776,140,1,13
10775,80,1,7
6491,240,0,24
6492,180,1,25
6493,60,1,32
6494,280,8,38
11166,360,2,28
11154,320,1,26
11153,180,1,17
11155,340,3,37
11144,120,0,12
11146,120,0,7
11149,340,2,17
11188,280,1,19
11191,240,0,18
11192,200,1,19
11194,40,0,9
11199,60,0,9
11200,80,0,17
11202,60,0,13
11201,400,1,18
11195,0,0,5
11196,180,1,20
11193,20,0,2
11190,0,0,2
11189,320,2,15
11150,240,1,9
11148,300,1,12
11147,300,1,8
11145,220,1,8
11140,320,3,16
11139,560,4,20
11281,900,3,28
11280,0,0,9
11141,560,1,20
11158,300,41,34
11186,200,3,33
11187,260,1,25
11197,140,1,12
11198,160,1,19
11203,0,0,0
11169,20,18,9
11170,0,98,48
6626,0,0,17
11105,0,0,0
11167,20,1,41
11168,0,0,30
11156,20,2,23
11171,40,6,32
11157,20,1,10
11275,0,0,11
11271,0,0,32
11272,0,13,25
11273,0,0,15
11274,40,10,50
3664,740,6,28
3665,660,3,25
6508,280,3,33
3709,540,4,31
3710,680,4,35
3679,720,7,35
6509,560,4,36
6510,880,7,28
6511,540,3,26
6512,700,8,30
3666,340,1,15
6513,120,2,10
6514,560,3,23
6515,840,16,25
6516,140,0,5
6517,0,98,48
6518,40,0,8
6519,140,1,15
3711,120,1,6
6520,180,0,5
3698,220,0,9
6521,320,2,20
6522,240,0,7
6523,200,1,14
6524,140,0,7
6525,80,1,5
6526,220,2,32
6527,120,1,12
6528,180,2,19
6529,220,3,21
6530,160,2,17
6531,200,3,36
6532,160,2,21
6533,280,1,15
6534,240,6,44
6535,360,5,30
6536,760,8,35
6503,540,4,28
10472,200,3,31
10561,0,100,48
10249,720,8,17
10248,740,35,20
10247,60,0,3
10479,220,2,19
10476,499,3,23
10475,220,0,9
10477,60,62,26
10473,200,3,24
10474,140,2,26
10478,100,1,15
10538,499,3,30
10539,520,4,33
10541,460,1,12
10543,0,100,48
10544,680,1,19
10542,560,2,23
10546,880,18,32
10545,780,3,28
10547,800,7,27
10548,840,4,24
10549,180,3,20
10551,80,0,14
6537,180,51,36
6538,60,23,21
6539,0,0,0
6540,260,73,45
11222,160,0,22
11224,240,1,15
11226,120,1,13
11230,120,0,17
11237,100,0,16
11241,60,0,10
11246,80,0,10
11247,0,0,4
11253,0,0,3
11255,240,2,15
11254,140,1,21
11252,80,0,8
11245,20,0,3
11240,40,0,9
11236,60,0,13
11231,260,1,24
11229,460,2,27
11225,540,3,20
11223,360,1,21
11219,220,0,17
11218,240,1,15
11220,140,1,19
11221,60,0,10
11227,140,42,42
11228,180,1,20
11234,20,0,13
11232,20,0,16
11233,200,0,21
11239,100,1,17
11238,100,0,9
11244,160,1,24
11242,140,1,12
11250,20,0,1
11251,60,1,8
11248,20,1,7
11249,40,0,4
11256,260,1,17
11213,0,0,1
11214,20,0,23
11216,0,0,0
11215,0,0,7
11217,0,0,0
11235,20,15,22
11276,0,0,3
11277,0,0,0
11279,0,0,0
11278,0,0,13
6548,420,9,42
6549,320,6,32
6550,600,27,80
6551,260,4,36
6552,220,5,36
6553,560,20,62
3681,440,32,54
6554,360,39,53
6555,160,3,31
3806,380,18,35
6556,220,3,25
6557,360,6,65
6558,960,37,52
9957,380,51,45
9958,180,2,25
9956,300,6,52
6601,780,2,23
6602,160,0,15
6603,780,4,21
6604,420,1,8
6605,300,1,17
6606,220,1,15
3432,499,6,28
11165,180,0,8
3519,280,1,20
3520,340,1,34
6608,80,0,24
6609,240,7,30
10094,1260,8,35
6611,660,12,37
6612,800,30,44
3457,1920,35,50
6613,540,16,42
6614,760,12,52
6615,680,17,27
6616,1620,18,53
6617,1140,10,39
3458,820,36,51
3459,300,2,28
6618,700,10,28
3796,1080,4,43
6619,1360,12,38
6620,580,4,24
6621,499,7,41
6622,180,2,17
6623,1060,6,60
6624,140,0,18
6625,360,7,40
10460,499,2,28
10462,120,1,8
10461,180,0,14
9875,880,9,22
10456,540,1,13
10457,460,2,27
10459,300,3,24
10458,440,1,12
10862,2480,27,31
11125,0,0,2
11126,0,0,0
11127,0,0,0
6592,540,1,14
6921,1080,5,35
3699,460,2,14
6920,1180,6,36
6593,620,7,41
11160,140,1,44
6610,320,1,17
6826,499,7,32
6607,400,3,28
10769,0,0,0
10773,0,0,1
10772,20,0,3
10771,60,0,8
10770,300,32,38
11151,499,3,14
11152,320,1,22
6627,80,32,29
6628,20,0,11
6629,20,0,9
6630,60,36,20
11164,20,48,20
11163,0,0,11
11162,0,0,7
11161,0,0,7
11159,0,0,4
9866,440,0,6
9867,520,18,25
9868,220,1,10
9869,240,1,22
9871,120,0,13
9870,40,0,4
9872,0,0,1
10411,900,8,24
9876,100,1,17
9877,100,0,5
9874,380,0,12
10764,40,0,6
10765,80,1,42
10763,160,0,23
5199,460,8,59
10782,480,27,33
5201,420,29,59
10783,400,12,16
10785,200,2,11
5206,220,10,39
5207,160,2,34
5208,80,2,27
10787,0,100,48
10784,60,1,4
10786,120,2,5
5212,580,53,60
5213,240,6,37
5214,100,7,37
5215,280,2,26
5228,220,3,45
5230,320,28,46
5644,499,3,36
10156,0,100,48
5200,160,34,60
5229,40,1,14
5222,0,0,0
5216,60,55,51
5226,0,0,0
5224,0,0,0
5221,420,53,69
5202,220,30,53
5205,20,0,10
5209,60,30,24
3772,100,33,31
5210,300,61,51
5211,60,1,39
5231,340,5,79
3482,140,0,16
5232,620,5,38
5233,600,4,44
5234,80,1,22
9837,380,3,35
9834,620,4,61
10157,520,4,42
10158,840,24,47
5862,680,22,39
5861,120,36,68
10159,840,11,39
10160,740,5,29
5845,1200,11,40
10161,960,10,40
5843,780,6,38
5851,360,5,22
5235,800,4,48
6506,460,2,48
10980,600,2,14
6505,520,4,14
9836,240,30,48
9835,40,60,27
5866,0,100,48
6507,360,1,30
5357,300,3,47
5358,40,0,7
5359,200,1,31
5360,180,1,32
5361,160,0,33
5362,220,2,28
5363,940,7,49
5364,220,1,33
5365,400,24,57
5366,260,2,16
5367,140,0,23
11090,160,0,7
11091,320,0,13
9864,40,0,7
11124,240,1,21
11123,140,0,26
5373,140,0,40
5374,0,100,48
5375,220,0,30
5376,0,100,48
5377,140,0,23
5378,160,1,17
5379,280,1,44
5380,120,0,26
5381,520,16,60
5382,0,98,48
5383,560,3,46
5384,800,32,50
10788,80,0,9
10790,20,0,7
10789,80,1,17
10791,140,0,12
5368,220,2,15
5369,420,1,20
10762,0,100,48
10761,100,3,14
11092,580,0,22
11093,620,1,29
11120,300,1,34
11121,420,1,26
11119,300,2,46
11122,240,1,19
3840,140,1,17
3841,480,4,23
3842,1020,7,48
3843,1600,7,31
3844,2120,8,41
3845,1280,6,31
3846,1780,9,81
3847,420,2,66
3848,1340,8,49
3850,1440,7,43
7029,1620,27,40
10034,200,3,30
3851,840,2,35
10036,40,0,16
3562,1040,3,30
3854,340,11,62
3852,1540,6,28
7026,1480,28,48
7011,760,22,52
7030,920,20,60
7032,660,19,53
3891,260,1,14
3892,660,5,43
3893,760,6,55
3894,240,1,16
5072,540,2,26
5073,540,3,27
5074,860,8,38
3895,440,2,32
3896,120,2,21
3897,660,27,97
3898,280,1,16
3899,1380,6,42
3900,140,2,18
3901,300,2,26
3902,1020,42,52
3903,40,3,30
3905,520,2,31
3906,360,2,25
3433,320,1,16
3907,140,1,25
3908,120,2,17
10810,80,1,13
11112,520,2,26
11113,540,2,33
11114,580,36,49
11089,560,2,42
11115,560,3,24
11118,640,5,23
11117,400,4,19
11116,100,3,14
7036,80,1,17
9841,680,4,21
9843,560,3,32
9842,180,3,26
11243,120,0,9
3909,900,5,35
3910,560,4,21
3911,1160,8,39
3460,420,3,28
3461,800,7,36
3912,920,4,26
3913,560,3,28
3914,900,6,31
3915,800,5,30
3916,840,5,32
3917,380,2,20
3918,400,3,22
3919,1160,6,33
3920,360,6,31
3921,1020,4,23
3922,560,5,12
3923,700,2,30
3924,800,5,29
3925,220,0,14
3926,340,2,18
3927,580,3,32
3928,0,100,48
3604,0,100,48
3605,40,1,6
10078,180,4,8
10076,640,3,14
10079,60,0,3
3606,420,3,28
3930,1100,5,25
3931,499,2,22
3932,1980,6,42
3933,140,0,17
3934,760,5,39
3935,520,13,23
3936,1100,4,34
3937,1360,6,48
3938,1440,7,46
3939,1900,9,54
3940,1560,8,55
3941,580,1,24
3942,340,3,31
3943,880,7,49
3944,1400,6,40
3945,180,5,39
3946,1480,8,63
3798,1939,8,58
3697,1660,7,42
3947,1360,5,39
3948,380,3,16
3578,1460,7,52
4223,840,2,43
10048,580,3,25
10049,80,1,2
10050,240,1,9
10812,460,8,66
10018,1340,4,36
3950,740,5,42
9894,600,8,38
3952,980,3,17
3953,320,3,34
3954,660,2,28
10606,0,0,1
4224,800,5,40
4225,280,1,27
3956,980,6,37
9893,1700,6,24
3958,840,6,44
3757,1760,13,48
3959,1500,7,33
3960,1460,7,43
3720,1380,3,27
9890,1600,3,32
3961,440,3,24
3497,360,3,21
3434,740,6,53
3435,820,4,29
3962,499,5,34
3963,940,8,38
3964,2340,11,55
3965,1780,8,46
3966,260,5,11
3967,920,4,45
3968,0,0,0
3969,0,0,0
3970,940,5,29
3971,620,5,60
3972,240,4,38
3973,760,2,22
3974,700,5,33
3975,740,5,29
3976,1380,7,35
3977,1060,3,20
3978,520,3,33
3979,220,4,38
3980,160,2,32
3981,100,3,27
3982,999,22,72
4014,180,9,51
9892,2360,10,39
3949,1600,6,40
3951,1480,7,31
10607,40,0,5
3957,1260,4,23
9895,1280,8,30
10685,400,3,12
3992,800,4,28
3993,1160,21,39
3994,240,2,23
3995,1360,4,31
3607,1140,3,28
3608,440,3,25
3996,200,5,29
3579,80,0,14
3997,300,2,20
3612,180,2,27
3613,260,1,15
3998,60,0,16
3999,100,1,11
4000,280,5,42
4001,260,3,17
10013,240,56,31
10192,300,5,47
10193,160,1,31
4002,360,1,24
4003,940,8,58
4004,380,2,36
4005,240,2,15
4006,240,1,26
5081,860,5,40
4008,840,5,46
4009,680,4,31
4010,1040,7,53
4011,520,4,26
4012,420,7,54
4013,320,1,25
7037,1160,6,46
4015,360,5,37
5082,580,3,41
4016,140,2,32
4017,260,3,22
10098,780,4,19
10099,40,1,2
10100,340,8,18
10101,20,0,6
10102,80,8,7
10170,300,2,37
4018,900,3,44
4019,940,3,36
7109,1500,14,39
3753,760,4,20
4021,560,2,21
4022,400,3,45
4023,460,4,46
4024,240,3,27
4025,1840,9,46
4026,980,7,49
4027,340,2,24
4028,980,7,44
4029,660,4,31
4030,60,0,25
4031,1100,7,42
4032,620,53,43
4033,420,10,33
4034,620,3,45
4035,720,6,35
3616,360,3,25
4036,1120,8,55
4037,520,2,21
7038,1200,5,37
4039,420,2,33
4040,180,1,24
4041,360,2,40
4042,260,3,19
4043,300,1,17
4044,580,7,36
4045,980,8,54
4046,60,48,38
4047,200,28,40
4048,1520,9,43
9888,520,4,30
10103,180,50,30
4052,840,5,42
4053,940,5,42
4054,440,2,14
4055,960,24,40
4057,340,11,70
4058,100,2,37
10093,220,5,24
4060,640,3,43
4061,700,4,48
4062,400,2,18
3462,400,2,29
4064,260,3,37
3609,800,7,38
3610,220,3,55
4066,580,4,25
4067,180,3,14
4068,880,4,35
4070,340,61,62
4071,480,3,31
4073,80,71,53
4074,80,25,47
4075,720,17,44
4076,720,12,29
4077,180,50,51
3764,160,4,21
10080,440,2,14
10081,120,3,21
10082,1180,8,33
10083,160,2,23
10085,200,5,27
10084,140,4,20
4379,440,5,35
4380,560,6,41
4381,260,2,26
4382,480,3,33
4383,1540,7,45
4384,800,37,84
4385,560,4,26
4386,1200,7,38
4400,1140,8,45
4387,200,5,18
4388,1280,43,80
4389,880,6,32
3807,1180,12,34
7067,1280,8,52
4390,380,3,27
