idelem,intensidad,ocupacion,carga
10488,96,0,6
10489,288,4,22
10487,144,0,10
11053,114,0,8
11054,152,0,10
4993,0,0,0
4961,341,29,18
11048,0,0,0
10092,76,24,28
4966,227,22,20
4969,114,3,8
4970,38,19,7
4978,114,58,21
3445,262,25,21
4992,146,46,51
3527,21,6,7
4988,180,8,19
3643,504,2,17
5870,360,1,10
5871,792,2,28
5872,504,1,17
5873,540,2,19
5874,612,1,21
5875,866,5,30
5876,1008,2,33
5877,720,1,24
5878,72,0,2
5879,756,0,25
10027,360,3,14
5881,648,1,19
5882,468,8,36
5883,180,9,15
5884,566,11,45
5885,206,3,16
5886,206,1,7
10134,288,2,10
5888,432,2,9
5889,252,0,6
5890,144,2,11
5891,432,3,17
5892,612,2,20
5893,864,4,33
11031,612,1,14
11099,135,0,9
5894,288,1,10
5895,200,2,8
5896,840,9,34
11096,72,1,5
11095,36,0,2
5897,800,5,30
5898,480,3,19
5899,379,1,13
5900,1008,11,39
10055,576,2,15
10051,396,1,14
10053,324,1,11
10052,720,2,18
10054,972,6,36
11098,0,0,0
10277,540,1,18
10276,540,1,18
10278,413,1,14
10279,420,1,14
11100,225,1,16
10280,144,3,8
3713,216,2,16
10281,864,2,28
10295,684,2,24
10296,720,1,23
10640,240,3,11
10643,517,1,18
10642,40,0,3
10641,120,1,9
10644,160,4,14
10664,240,2,18
10663,240,1,9
10665,120,1,9
10666,200,1,8
10667,160,4,14
10668,160,1,6
10886,108,0,7
10887,252,4,20
10879,108,3,10
10882,144,0,10
10880,180,4,16
10881,180,3,15
11027,36,0,2
11101,90,1,7
11103,90,1,7
11104,180,1,13
11102,0,0,0
11097,191,1,14
11262,111,0,7
11263,111,2,9
11264,0,0,0
11265,245,5,21
10072,324,90,92
10073,252,15,29
10075,252,12,27
10074,756,16,58
10070,288,50,60
3714,144,36,41
5906,14,5,6
5887,228,22,31
5903,53,15,18
5901,21,15,17
5902,108,3,10
11261,0,0,0
5904,60,2,6
5905,180,27,36
3712,106,1,7
4773,326,16,34
10612,80,1,4
4774,244,15,29
4775,288,5,23
10609,132,4,12
4777,324,25,42
4776,324,33,47
4781,396,11,34
4807,504,5,21
10610,80,1,6
4780,676,33,48
4804,684,2,17
4805,468,3,18
4806,1692,37,73
10582,72,1,6
4782,108,2,9
10905,216,1,8
3479,36,2,6
3517,72,31,34
10611,80,50,53
10056,216,21,27
11025,756,6,29
3572,180,3,15
5037,907,7,35
5038,432,3,17
5039,756,5,29
5040,504,4,20
5041,972,6,36
5042,756,5,29
5043,972,8,37
5044,1008,7,38
5045,864,20,66
5046,720,5,28
5047,468,7,36
5048,612,10,47
5049,360,4,27
5050,252,3,19
5051,612,11,47
3684,540,5,22
5052,334,9,29
5053,288,4,22
5054,828,11,60
5055,216,5,19
5056,108,42,46
5058,108,5,12
5059,144,2,7
3685,576,11,28
3686,252,6,22
5060,0,0,0
5245,252,6,22
5246,180,6,17
5247,756,5,29
5061,216,9,22
10025,180,4,16
10282,396,9,33
5036,432,29,49
3447,108,32,37
5255,720,21,59
5063,417,4,31
5064,417,5,31
5065,341,4,26
10575,76,1,7
5067,295,33,44
5068,38,0,3
5069,589,9,43
5070,265,4,21
5071,114,0,8
5075,76,0,5
5076,114,1,8
3655,38,0,3
5077,417,1,15
5078,720,5,27
5079,114,1,8
5083,180,2,7
5084,1145,4,38
5085,327,3,13
3742,229,1,9
5087,270,6,23
5088,225,2,10
5089,0,0,0
5090,524,1,12
5091,360,5,28
10576,76,1,6
10577,114,2,11
10578,114,0,8
10579,65,0,4
3574,38,44,7
10580,98,2,8
10581,65,1,5
10982,45,1,4
11030,622,8,26
11005,315,6,26
11006,270,3,19
3634,495,9,39
10257,38,22,5
10256,0,0,0
10250,360,56,67
10251,379,1,14
10614,568,3,21
10613,227,4,15
10615,38,1,3
10637,796,5,30
10638,189,2,13
10617,531,3,20
10618,60,1,4
10616,38,0,3
11007,95,3,9
3635,164,87,88
10332,0,0,0
10848,33,97,97
10849,131,94,95
10850,196,90,91
5093,135,37,11
3687,114,34,10
3573,76,11,6
3633,98,46,50
5094,180,48,55
5098,180,63,68
3551,0,0,0
11314,45,80,81
11313,290,30,37
10358,52,1,3
5101,1073,33,81
5102,1219,36,88
5105,600,13,48
5108,200,6,19
5110,480,6,21
5115,120,2,10
5118,360,38,53
5119,40,1,5
5120,80,1,6
5121,400,7,32
5122,360,46,59
3481,200,4,17
5123,320,22,39
5124,320,4,24
5132,315,4,24
5133,255,4,12
5134,0,0,0
5135,0,0,0
5136,45,1,4
5137,180,3,15
5138,0,0,0
5139,0,0,0
5140,405,9,35
5141,51,3,6
5144,257,6,21
5145,257,6,21
5146,257,7,23
5147,0,0,0
5148,0,0,0
3769,90,0,6
5092,90,0,6
10510,405,1,28
10507,180,1,13
10508,0,0,0
10509,207,6,20
10506,360,3,26
10505,0,0,0
10504,270,4,21
10502,360,4,27
10503,90,10,15
10500,295,2,21
10501,585,4,41
10981,0,0,0
11026,135,4,13
6959,585,3,16
6960,315,2,9
6961,225,3,10
9998,288,2,11
9996,96,2,5
9997,144,1,11
9995,336,5,26
10067,810,5,22
10069,225,1,6
10068,270,3,20
10230,144,0,5
10229,192,0,6
10235,96,0,3
10232,144,0,5
10326,154,4,8
10328,360,6,17
10330,360,5,16
10329,158,7,12
10310,103,2,5
10309,585,7,25
10331,257,3,11
10319,103,1,4
10313,103,1,4
10311,257,2,10
10312,51,0,2
10315,103,1,4
10314,257,2,10
10316,206,3,10
10325,0,0,0
10327,0,0,0
10324,0,0,0
10323,154,2,7
10322,0,50,50
10321,0,0,0
10317,257,2,10
10318,360,6,17
10320,0,0,0
10405,154,2,7
10404,154,2,7
10406,154,1,6
10536,0,0,0
10534,0,0,0
10535,51,1,2
10532,0,0,0
10533,45,1,2
10531,463,6,20
3814,120,8,15
3680,60,5,9
6547,6,0,0
9999,288,21,36
10231,0,0,0
6545,360,86,89
6546,180,78,81
3813,45,6,9
10234,0,0,0
10233,0,0,0
10537,154,6,16
6559,76,1,4
6560,1819,49,111
6561,341,3,14
6562,189,1,7
6563,417,7,33
6564,379,8,31
6565,303,6,24
6566,152,21,29
6567,227,3,18
6568,265,7,23
6569,227,3,18
3788,212,4,17
6570,265,3,11
6571,227,1,9
6572,189,0,6
6573,0,0,0
6575,85,1,7
6955,169,2,12
6574,531,40,50
6956,339,6,26
3723,127,1,9
6954,381,3,15
10197,280,1,10
10291,227,0,8
10294,152,1,5
10333,675,3,24
10335,45,1,4
10334,315,2,12
10336,270,1,9
10293,152,61,65
10292,152,61,65
7110,0,0,0
6578,114,77,79
6579,38,7,9
6580,152,25,33
3787,114,3,10
6953,42,2,5
6962,315,3,13
6582,130,2,6
6583,135,3,12
6963,240,3,19
6965,360,1,13
6966,640,10,23
3789,880,3,31
6964,377,13,35
9861,800,37,48
9862,360,1,9
9858,600,3,22
9859,240,4,12
6970,280,1,7
9860,320,1,8
10028,400,16,38
5880,440,29,50
10029,320,6,26
10376,34,1,3
10337,45,0,3
10363,630,2,23
10364,45,0,3
10365,45,0,3
10377,213,2,16
10378,171,1,12
10381,31,0,2
10382,54,0,4
10383,178,1,13
10384,168,1,12
10366,135,1,10
10367,405,4,30
10368,225,1,16
10369,90,0,6
10371,405,6,31
10370,180,0,12
10374,0,0,0
10375,0,0,0
10372,360,4,27
10373,316,1,22
10413,765,8,31
10414,45,1,4
10412,90,0,6
10441,495,2,18
10442,90,0,6
10443,0,0,0
10415,450,3,17
10417,90,0,6
10416,135,1,10
10686,585,3,22
10420,0,0,0
10421,45,0,3
10431,90,1,7
10432,90,0,6
10433,270,5,22
10434,360,4,27
10423,90,1,7
10583,45,1,4
10584,120,1,9
10691,0,0,0
10419,45,0,3
10688,135,0,9
10689,40,0,3
10690,45,0,3
10687,0,0,0
10692,45,1,4
10799,360,2,14
10800,0,0,0
10801,45,0,3
10817,495,5,20
10815,45,0,3
10816,45,1,4
10030,280,69,75
10136,252,9,24
3530,180,1,13
6591,36,0,1
10188,684,10,31
10189,180,52,58
10190,1224,8,46
10191,72,2,7
10215,381,7,31
10214,85,0,3
10213,0,0,0
6596,252,4,12
10591,36,1,3
10853,42,1,4
6584,0,0,0
